Date,Close/Last,Volume,Open,High,Low
08/26/2022,$43.57,2478087,$44.51,$44.55,$43.52
08/25/2022,$44.38,2011108,$44.3,$44.41,$44.0215
08/24/2022,$44.11,2232818,$43.63,$44.21,$43.62
08/23/2022,$43.72,2334229,$43.27,$43.8,$43.08
08/22/2022,$42.97,2217379,$43.08,$43.17,$42.765
08/19/2022,$43.28,1685062,$43.24,$43.3555,$42.94
08/18/2022,$43.33,2892985,$43.1,$43.47,$42.97
08/17/2022,$42.8,2251232,$43,$43,$42.67
08/16/2022,$43.19,2975799,$42.76,$43.2476,$42.69
08/15/2022,$42.72,2939054,$42.68,$42.89,$42.42
08/12/2022,$43.51,6153115,$43.58,$43.66,$43.2424
08/11/2022,$44.28,6280955,$44.21,$44.5775,$44.1
08/10/2022,$43.88,2491488,$43.76,$44.1,$43.56
08/09/2022,$43.42,2375341,$43.63,$43.83,$43.31
08/08/2022,$43.41,2265252,$43.09,$43.54,$43.04
08/05/2022,$42.77,3747014,$42.7,$42.87,$42.405
08/04/2022,$43.25,2976882,$44.03,$44.09,$43.18
08/03/2022,$44.16,2276585,$44.2,$44.2701,$43.79
08/02/2022,$43.99,3288181,$44.74,$44.81,$43.96
08/01/2022,$44.53,2318348,$44.47,$44.63,$43.905
07/29/2022,$44.93,2818279,$44.95,$45.21,$44.51
07/28/2022,$44.71,2829034,$44.9,$44.9,$44.15
07/27/2022,$44.6,3041818,$44,$44.78,$43.81
07/26/2022,$43.82,2895849,$44.02,$44.24,$43.65
07/25/2022,$44.01,2604926,$43.2,$44.03,$43.12
07/22/2022,$42.91,1819322,$43.12,$43.38,$42.685
07/21/2022,$42.96,2368651,$42.47,$42.99,$42.385
07/20/2022,$43.08,2200981,$43.12,$43.175,$42.69
07/19/2022,$43.15,2989224,$42.72,$43.245,$42.67
07/18/2022,$42.46,2869589,$42.18,$42.79,$42.12
07/15/2022,$41.59,2467550,$41.63,$41.78,$41.23
07/14/2022,$41.1,3958087,$40.68,$41.145,$40.04
07/13/2022,$41.64,3760142,$41.41,$41.915,$41.27
07/12/2022,$41.74,2191376,$41.63,$41.955,$41.44
07/11/2022,$42.1,2342057,$41.78,$42.19,$41.545
07/08/2022,$42.19,2189317,$42.13,$42.4529,$41.76
07/07/2022,$42,2903162,$41.88,$42.1461,$41.634
07/06/2022,$41.28,3410774,$41.05,$41.56,$40.42
07/05/2022,$41.44,4152253,$42,$42.02,$40.39
07/01/2022,$42.66,2826770,$42.33,$42.76,$41.83
06/30/2022,$42.26,3173709,$42.06,$42.31,$41.7
06/29/2022,$42.44,3219782,$42.9,$42.94,$42.24
06/28/2022,$42.54,3369232,$42.89,$43.125,$42.31
06/27/2022,$42.18,3246827,$41.97,$42.455,$41.895
06/24/2022,$41.78,3209877,$41.23,$41.92,$40.93
06/23/2022,$40.8,5005336,$41.33,$41.49,$40.535
06/22/2022,$41.25,3949631,$40.57,$41.56,$40.24
06/21/2022,$41.49,3835653,$41.22,$41.815,$41.11
06/17/2022,$40.49,8219967,$40.64,$40.9607,$39.41
06/16/2022,$40.97,5365525,$41.99,$42,$40.855
06/15/2022,$42.68,4820433,$43,$43.225,$41.78
06/14/2022,$42.94,5778413,$44.16,$44.25,$42.66
06/13/2022,$44,5480731,$44.6,$44.75,$43.74
06/10/2022,$45.55,3135009,$45.92,$45.92,$45.2
06/09/2022,$46.17,2798468,$46.98,$47.03,$46.1346
06/08/2022,$47.18,2485161,$47.59,$47.67,$46.88
06/07/2022,$47.53,2514799,$47.23,$47.5999,$46.98
06/06/2022,$47.11,2543706,$47,$47.27,$46.92
06/03/2022,$46.81,2500923,$46.9,$47.165,$46.71
06/02/2022,$46.93,3471717,$46,$47.04,$45.86
06/01/2022,$45.95,5981698,$46.53,$46.64,$45.905
05/31/2022,$46.15,4054808,$46.42,$46.7,$46.045
05/27/2022,$46.2,5711093,$45.99,$46.44,$45.94
05/26/2022,$45.85,2836635,$45.16,$46,$45.13
05/25/2022,$45.1,2752073,$44.98,$45.2936,$44.78
05/24/2022,$44.98,3557844,$45,$45.13,$44.27
05/23/2022,$44.91,2436571,$44.87,$45.38,$44.69
05/20/2022,$44.54,3489476,$44.7,$44.895,$43.84
05/19/2022,$44.44,3893683,$43.77,$44.74,$43.77
05/18/2022,$44.24,3345196,$44.97,$45.1,$44.035
05/17/2022,$44.89,3357964,$44.91,$45.04,$44.56
05/16/2022,$44.58,4430573,$44,$44.84,$43.88
05/13/2022,$43.79,5070670,$43.2,$44.07,$43.11
05/12/2022,$42.68,9391079,$42.33,$42.7,$42.02
05/11/2022,$43.13,8063583,$43.43,$44.2014,$43.05
05/10/2022,$42.94,5777185,$43.84,$44.16,$42.435
05/09/2022,$43.38,6738685,$45.05,$45.05,$43.245
05/06/2022,$45.43,5652072,$45.61,$45.69,$44.31
05/05/2022,$44.58,5089480,$45.41,$45.57,$44.14
05/04/2022,$45.19,4975608,$44.34,$45.305,$44.0381
05/03/2022,$43.86,3833723,$43.51,$44.29,$43.49
05/02/2022,$43.43,3682185,$43.5,$43.714,$42.86
04/29/2022,$43.64,4433681,$44.73,$44.86,$43.515
04/28/2022,$44.61,3377379,$44.09,$44.8706,$43.88
04/27/2022,$43.82,3196029,$43.95,$44.1656,$43.4399
04/26/2022,$43.76,3496266,$44.05,$44.33,$43.725
04/25/2022,$44.15,5380840,$44,$44.431,$43.175
04/22/2022,$44.86,3875374,$46.02,$46.23,$44.7692
04/21/2022,$46.31,2994719,$46.94,$47.22,$46.28
04/20/2022,$46.83,2776204,$46.6,$47.0482,$46.46
04/19/2022,$46.42,2230007,$46.16,$46.5354,$46.02
04/18/2022,$46.19,2710864,$46.32,$46.41,$46.04
04/14/2022,$46.22,2507557,$46.3,$46.565,$46.11
04/13/2022,$46.38,3234452,$46.3,$46.5,$46.04
04/12/2022,$46.13,2670981,$46.36,$46.65,$46.1089
04/11/2022,$46.1,3352046,$46.6,$46.66,$45.925
04/08/2022,$46.71,3397505,$46.17,$46.88,$46.17
04/07/2022,$46.14,4742454,$46.54,$46.58,$45.57
04/06/2022,$46.54,3161254,$46.63,$46.8555,$46.32
04/05/2022,$46.51,2678675,$46.8,$47.42,$46.5
04/04/2022,$46.63,2556938,$46.55,$46.81,$46.38
04/01/2022,$46.4,2629584,$46.22,$46.53,$46.05
03/31/2022,$46.09,3393420,$46.14,$46.4964,$46.05
03/30/2022,$46.35,2644985,$46.33,$46.42,$46.04
03/29/2022,$46.13,3017575,$45.59,$46.27,$45.46
03/28/2022,$45.94,2843490,$45.88,$45.98,$45.475
03/25/2022,$46.36,4348445,$45.41,$46.37,$45.41
03/24/2022,$45.41,2508101,$45.29,$45.48,$45.1579
03/23/2022,$45.06,3479885,$45.41,$45.43,$45.05
03/22/2022,$45.21,3412342,$45.39,$45.59,$45.01
